rtreatment,treatment,plot,position,meters,initial,maymeasurement,difference ,notesticks
sg,control ,21,A,-5,na,na,NA,
sg,control ,21,C,-0.1,na,na,NA,
sg,control ,21,J,4.7,na,na,NA,
sg,control ,21,N,7.7,na,na,NA,
sg,control ,21,Q,9.55,na,na,NA,
sg,control ,21,AC,20,na,na,NA,
sg,control ,21,AK,100,na,na,NA,
control,control ,23,A,-5,15,18,3,
control,control ,23,C,-0.1,15,19,4,
control,control ,23,J,4.7,15,18.5,3.5,
control,control ,23,N,7.7,15,18.5,3.5,
control,control ,23,Q,9.55,15,17,2,
control,control ,23,AC,20,15,20.5,5.5,
control,control ,23,AK,100,15,19,4,
sg,control ,30,A,-5,15,18.5,3.5,
sg,control ,30,C,-0.1,15,na ,NA,no ring 
sg,control ,30,J,4.7,15,19,4,
sg,control ,30,N,7.7,15,20,5,
sg,control ,30,Q,9.55,15,20,5,
sg,control ,30,AC,20,15,18,3,
sg,control ,30,AK,100,15,17,2,
control,control ,31,A,-5,15,18,3,
control,control ,31,C,-0.1,15,20,5,
control,control ,31,J,4.7,15,18,3,
control,control ,31,N,7.7,15,17,2,
control,control ,31,Q,9.55,15,19.5,4.5,
control,control ,31,AC,20,15,17.5,2.5,
control,control ,31,AK,100,15,19,4,
mu ,BESE,24,A,-5,15,20,5,
mu ,BESE,24,C,-0.1,15,22,7,
mu ,BESE,24,E,0.55,15,na,NA,no ring 
mu ,BESE,24,F,1.7,15,19,4,
mu ,BESE,24,G,2.9,15,15,0,
mu ,BESE,24,I,3.55,15,20,5,
mu ,BESE,24,J,4.7,15,19.5,4.5,
mu ,BESE,24,K,5.9,15,19.5,4.5,
mu ,BESE,24,M,6.55,15,20,5,
mu ,BESE,24,N,7.7,15,na,NA,no ring 
mu ,BESE,24,O,8.9,15,17.5,2.5,
mu ,BESE,24,Q,9.55,15,19.5,4.5,
mu ,BESE,24,U,12,15,18.5,3.5,
mu ,BESE,24,X,15,15,20,5,
mu ,BESE,24,AC,20,15,18,3,
mu ,BESE,24,AK,100,15,20,5,
mu ,BESE,29,A,-5,15,19,4,
mu ,BESE,29,C,-0.1,15,18,3,
mu ,BESE,29,E,0.55,15,17.5,2.5,
mu ,BESE,29,F,1.7,15,19,4,
mu ,BESE,29,G,2.9,15,19.5,4.5,
mu ,BESE,29,I,3.55,15,18,3,
mu ,BESE,29,J,4.7,15,23,8,
mu ,BESE,29,K,5.9,15,19.5,4.5,
mu ,BESE,29,M,6.55,15,19.5,4.5,
mu ,BESE,29,N,7.7,15,na,NA,no ring 
mu ,BESE,29,O,8.9,15,18,3,
mu ,BESE,29,Q,9.55,15,18,3,
mu ,BESE,29,U,12,15,19,4,
mu ,BESE,29,X,15,15,19,4,
mu ,BESE,29,AC,20,15,19,4,
mu ,BESE,29,AK,100,15,18.5,3.5,
mu+sg,BESE,32,A,-5,15,25,10,
mu+sg,BESE,32,C,-0.1,15,16.5,1.5,
mu+sg,BESE,32,E,0.55,15,29,14,
mu+sg,BESE,32,F,1.7,15,18,3,
mu+sg,BESE,32,G,2.9,15,20,5,
mu+sg,BESE,32,I,3.55,15,19,4,
mu+sg,BESE,32,J,4.7,15,20,5,
mu+sg,BESE,32,K,5.9,15,17,2,
mu+sg,BESE,32,M,6.55,15,16,1,
mu+sg,BESE,32,N,7.7,15,19,4,
mu+sg,BESE,32,O,8.9,15,19,4,
mu+sg,BESE,32,Q,9.55,15,17,2,
mu+sg,BESE,32,U,12,15,18.5,3.5,
mu+sg,BESE,32,X,15,15,21.5,6.5,
mu+sg,BESE,32,AC,20,15,19.5,4.5,
mu+sg,BESE,32,AK,100,15,20,5,
mu+sg,BESE,22,A,-5,15,19.5,4.5,
mu+sg,BESE,22,C,-0.1,15,na,NA,
mu+sg,BESE,22,E,0.55,15,na,NA,no ring 
mu+sg,BESE,22,F,1.7,15,17.5,2.5,
mu+sg,BESE,22,G,2.9,15,20,5,
mu+sg,BESE,22,I,3.55,15,19,4,
mu+sg,BESE,22,J,4.7,15,20.5,5.5,
mu+sg,BESE,22,K,5.9,15,20.5,5.5,
mu+sg,BESE,22,M,6.55,15,18,3,
mu+sg,BESE,22,N,7.7,15,17,2,
mu+sg,BESE,22,O,8.9,15,19,4,
mu+sg,BESE,22,Q,9.55,15,19,4,
mu+sg,BESE,22,U,12,15,18,3,
mu+sg,BESE,22,X,15,15,18,3,
mu+sg,BESE,22,AC,20,15,18,3,
mu+sg,BESE,22,AK,100,15,18.5,3.5,
